global_index	edit_id	verb	original_en	result_zh	time_zh
372	human_048_E2B	render	Starting at 29.0 seconds, render the tabletop miniature model in a low-poly style over the next two seconds.	桌面微缩模型是否被渲染为低多边形风格？	该渲染是否在 2 秒内完成？
373	human_049_E1	change	Starting at 20.0 seconds, change the Russian representative's navy tie to burgundy red over the next two seconds.	俄罗斯代表的领带是否从海军蓝变为酒红色？	该变化是否在 2 秒内完成？
376	human_050_E1	change	Starting at 14.0 seconds, change the shoe's red-orange laces to bright blue over the next two seconds.	鞋子的鞋带是否从红橙色变为亮蓝色？	该变化是否在 2 秒内完成？
387	human_057_E2B	render	Starting at 29.0 seconds, render the speaker as a detailed ink illustration over the next two seconds.	说话者是否被渲染为细节丰富的墨线插画？	该渲染是否在 2 秒内完成？
391	human_061_E1	change	Starting at 14.0 seconds, change the trainer's red sports top to turquoise over the next two seconds.	教练的运动上衣是否从红色变为蓝绿色？	该变化是否在 2 秒内完成？
394	human_062_E1	change	Starting at 13.5 seconds, change the visible board surface to a pale green finish over the next two seconds.	可见板面是否变为浅绿色饰面？	该变化是否在 2 秒内完成？
397	human_063_E1	change	Starting at 14.0 seconds, change the man's yellow striped hat to solid orange over the next two seconds.	男子的帽子是否从黄色条纹变为纯橙色？	该变化是否在 2 秒内完成？
399	human_063_E2B	change	Starting at 29.0 seconds, change the view to the man's first-person perspective over three seconds.	视角是否切换为男子的第一人称视角？	该变化是否在 3 秒内完成？
400	human_064_E1	change	Starting at 14.0 seconds, change the man's short beard to a pointed goatee over the next two seconds.	男子的短胡须是否变为尖山羊胡？	该变化是否在 2 秒内完成？
402	human_064_E2B	apply	Starting at 29.0 seconds, apply a fine halftone print texture to the full frame over the next two seconds.	整个画面是否应用了精细的半色调印刷纹理？	该效果应用是否在 2 秒内完成？
403	human_067_E1	change	Starting at 14.0 seconds, change the kitchen lighting from neutral light to warm golden light over the next two seconds.	厨房照明是否从中性光变为暖金色光？	该变化是否在 2 秒内完成？
405	human_067_E2B	change	Starting at 29.0 seconds, change the view to the man's first-person perspective over the next two seconds.	视角是否切换为男子的第一人称视角？	该变化是否在 2 秒内完成？
406	human_068_E1	change	Starting at 14.0 seconds, change the bar lighting from neutral light to rich amber light over the next two seconds.	酒吧照明是否从中性光变为浓郁的琥珀色光？	该变化是否在 2 秒内完成？
409	human_071_E1	change	Starting at 18.0 seconds, change the studio lighting from warm neutral light to cool blue light over the next two seconds.	演播室照明是否从暖中性光变为冷蓝色光？	该变化是否在 2 秒内完成？
417	human_077_E2B	transform	Starting at 29.0 seconds, transform the full frame into a hand-painted watercolor scene over the next two seconds.	整个画面是否转变为手绘水彩场景？	该转换是否在 2 秒内完成？
420	human_078_E2B	apply	Starting at 29.0 seconds, apply a crisp high-contrast tone to the full frame over the next two seconds.	整个画面是否应用了清晰的高对比度色调？	该效果应用是否在 2 秒内完成？
424	human_083_E1	change	Starting at 14.0 seconds, change the man's light beard to a dark pointed goatee over the next two seconds.	男子的浅色胡须是否变为深色尖山羊胡？	该变化是否在 2 秒内完成？
427	human_084_E1	change	Starting at 14.0 seconds, change the cool woodland lighting to warm late-afternoon light over the next two seconds.	林地光线是否从清冷光线变为温暖的午后光线？	该变化是否在 2 秒内完成？
429	human_084_E2B	render	Starting at 29.0 seconds, render the snowy forest background in a watercolor style over the next two seconds.	雪林背景是否被渲染为水彩风格？	该渲染是否在 2 秒内完成？
430	human_085_E1	change	Starting at 14.0 seconds, change the host's patterned shirt to solid pale blue over the next two seconds.	主持人的衬衫是否从花纹款变为纯浅蓝色？	该变化是否在 2 秒内完成？
433	human_086_E1	change	Starting at 14.0 seconds, change the classroom lighting from neutral light to warm daylight over the next two seconds.	教室照明是否从中性光变为温暖日光？	该变化是否在 2 秒内完成？
447	human_098_E2B	render	Starting at 29.0 seconds, render the man as an oil-painted portrait over the next two seconds.	男子是否被渲染为油画肖像？	该渲染是否在 2 秒内完成？
453	human_104_E2B	transform	Starting at 29.0 seconds, transform the full frame into vintage color sports film over the next two seconds.	整个画面是否转换为复古彩色体育胶片风格？	该转换是否在 2 秒内完成？
454	human_105_E1	change	Starting at 14.0 seconds, change the man's white hair to light blond over the next two seconds.	男子的头发是否从白色变为浅金色？	该变化是否在 2 秒内完成？
457	human_106_E1	change	Starting at 14.0 seconds, change the metal cooking pot to blue enameled cookware over the next two seconds.	金属烹饪锅是否变为蓝色搪瓷炊具？	该变化是否在 2 秒内完成？
460	human_107_E1	change	Starting at 14.0 seconds, change the artwork's red band to cobalt blue over the next two seconds.	艺术品上的带状区域是否从红色变为钴蓝色？	该变化是否在 2 秒内完成？
465	human_108_E2B	render	Starting at 29.0 seconds, render the seated couple as a colored-pencil portrait over the next two seconds.	坐着的两人是否被呈现为彩色铅笔肖像？	该渲染是否在 2 秒内完成？
469	human_112_E1	change	Starting at 14.0 seconds, change the woman's black curly hair to chestnut brown over the next two seconds.	女子的卷发是否从黑色变为栗棕色？	该变化是否在 2 秒内完成？
471	human_112_E2B	render	Starting at 29.0 seconds, render the white wardrobe as layered paper-cut artwork over the next two seconds.	白色衣柜是否被呈现为分层剪纸艺术品？	该渲染是否在 2 秒内完成？
482	human_121_E2A	change	Starting at 29.0 seconds, change the sleeve's green-and-brown camouflage pattern to gray and black over the next two seconds.	袖子的迷彩图案是否从绿棕色变为灰黑色？	该变化是否在 2 秒内完成？
484	human_124_E1	change	Starting at 14.0 seconds, change the man's light-purple tie to emerald green over the next two seconds.	男子的领带是否从浅紫色变为祖母绿色？	该变化是否在 2 秒内完成？
486	human_124_E2B	transform	Starting at 29.0 seconds, transform the full frame into a 1980s public-service television interview over the next two seconds.	整个画面是否转换为 20 世纪 80 年代公益电视访谈风格？	该转换是否在 2 秒内完成？
487	human_125_E1	change	Starting at 14.0 seconds, change the older man's green bow tie to burgundy red over the next two seconds.	年长男子的领结是否从绿色变为酒红色？	该变化是否在 2 秒内完成？
490	human_126_E1	change	Starting at 14.0 seconds, change the woman's pink headscarf to teal over the next two seconds.	女子的头巾是否从粉色变为蓝绿色？	该变化是否在 2 秒内完成？
496	human_130_E1	change	Starting at 14.0 seconds, change the woman's tied-up hair to loose shoulder-length waves over the next two seconds.	女子扎起的头发是否变为披散的齐肩波浪发？	该变化是否在 2 秒内完成？
504	human_136_E2B	change	Starting at 28.0 seconds, change the view to the performer's first-person perspective over the next two seconds.	视角是否切换为表演者的第一人称视角？	该变化是否在 2 秒内完成？
507	human_138_E2B	transform	Starting at 35.0 seconds, transform the full frame into a bold comic-book style over the next two seconds.	整个画面是否转换为鲜明的漫画书风格？	该转换是否在 2 秒内完成？
511	human_141_E1	change	Starting at 14.0 seconds, change the speaker's magenta shirt to deep green over the next two seconds.	演讲者的衬衫是否从洋红色变为深绿色？	该变化是否在 2 秒内完成？
514	human_144_E1	change	Starting at 14.0 seconds, change the green coin-bank body to cobalt blue over the next two seconds.	存钱罐主体是否从绿色变为钴蓝色？	该变化是否在 2 秒内完成？
516	human_144_E2B	render	Starting at 29.0 seconds, render the tabletop background in a clay-animation style over the next two seconds.	桌面背景是否被呈现为黏土动画风格？	该渲染是否在 2 秒内完成？
517	human_146_E1	change	Starting at 14.0 seconds, change the right panelist's gray cap to navy blue over the next two seconds.	右侧嘉宾的帽子是否从灰色变为海军蓝色？	该变化是否在 2 秒内完成？
520	human_147_E1	change	Starting at 14.0 seconds, change the man's short full beard to a pointed goatee over the next two seconds.	男子的短络腮胡是否变为尖形山羊胡？	该变化是否在 2 秒内完成？
523	human_152_E1	change	Starting at 14.0 seconds, change the man's dark beard to auburn over the next two seconds.	男子的胡须是否从深色变为赤褐色？	该变化是否在 2 秒内完成？
525	human_152_E2B	apply	Starting at 29.0 seconds, apply a subtle fine-paper texture to the full frame over the next two seconds.	整个画面是否应用了细腻的纸张纹理？	该效果应用是否在 2 秒内完成？
537	human_157_E2B	transform	Starting at 29.0 seconds, transform the full frame into a detailed watercolor painting over the next two seconds.	整个画面是否转换为细致的水彩画？	该转换是否在 2 秒内完成？
541	human_164_E1	change	Starting at 14.0 seconds, change the woman's braided hair to loose curls over the next two seconds.	女子的辫发是否变为披散的卷发？	该变化是否在 2 秒内完成？
547	human_166_E1	change	Starting at 20.0 seconds, change the man's bright-blue jacket to brick red over the next two seconds.	男子的夹克是否从亮蓝色变为砖红色？	该变化是否在 2 秒内完成？
550	human_168_E1	change	Starting at 14.0 seconds, change the khaki diaper bag to forest green over the next two seconds.	妈咪包是否从卡其色变为森林绿色？	该变化是否在 2 秒内完成？
553	human_170_E1	change	Starting at 14.0 seconds, change the man's red shirt to turquoise over the next two seconds.	男子的衬衫是否从红色变为绿松石色？	该变化是否在 2 秒内完成？
556	human_171_E1	change	Starting at 14.0 seconds, change the man's red cap to dark green over the next two seconds.	男子的帽子是否从红色变为深绿色？	该变化是否在 2 秒内完成？
558	human_171_E2B	change	Starting at 29.0 seconds, change the view to the man's first-person perspective toward the packed shelving over the next two seconds.	视角是否切换为男子望向摆满物品的货架时的第一人称视角？	该变化是否在 2 秒内完成？
570	human_180_E2B	transform	Starting at 29.0 seconds, transform the full frame into layered cut-paper artwork over the next two seconds.	整个画面是否转换为分层剪纸艺术品？	该转换是否在 2 秒内完成？
571	human_181_E1	change	Starting at 14.0 seconds, change the man's white headphones to bright red over the next two seconds.	男子的耳机是否从白色变为亮红色？	该变化是否在 2 秒内完成？
574	human_184_E1	change	Starting at 14.0 seconds, change the woman's dark-red top to navy blue over the next two seconds.	女子的上衣是否从深红色变为海军蓝色？	该变化是否在 2 秒内完成？
580	human_187_E1	change	Starting at 14.0 seconds, change the woman's straight bangs to side-swept bangs over the next two seconds.	女子的齐刘海是否变为侧扫刘海？	该变化是否在 2 秒内完成？
583	human_190_E1	change	Starting at 14.0 seconds, change the man's black eyeglass frames to translucent amber over the next two seconds.	男子的眼镜框是否从黑色变为半透明琥珀色？	该变化是否在 2 秒内完成？
586	human_191_E1	change	Starting at 14.0 seconds, change the dry outdoor weather to gentle rain over the next two seconds.	室外干燥天气是否变为小雨天气？	该变化是否在 2 秒内完成？
589	human_192_E1	change	Starting at 14.0 seconds, change the man's dark outdoor jacket to burnt orange over the next two seconds.	男子的户外夹克是否从深色变为焦橙色？	该变化是否在 2 秒内完成？
591	human_192_E2B	transform	Starting at 29.0 seconds, transform the full frame into a 1970s color nature documentary over the next two seconds.	整个画面是否转换为 20 世纪 70 年代彩色自然纪录片风格？	该转换是否在 2 秒内完成？
597	human_197_E2B	apply	Starting at 29.0 seconds, apply a restrained teal-and-gold duotone grade to the full frame over the next two seconds.	整个画面是否应用了克制的蓝绿色与金色双色调分级？	该效果应用是否在 2 秒内完成？
600	human_198_E2B	render	Starting at 29.0 seconds, render the woman as a bold pop-art portrait over the next two seconds.	女子是否被呈现为鲜明的波普艺术肖像？	该渲染是否在 2 秒内完成？
601	object_001_E1	change	Starting at 14.0 seconds, change the adult rabbit's fur from mottled gray-brown to pale cream over the next two seconds.	成年兔子的皮毛是否从灰棕杂色变为浅奶油色？	该变化是否在 2 秒内完成？
604	object_004_E1	change	Starting at 14.0 seconds, change the peacock's neck plumage from vivid blue to emerald green over the next two seconds.	孔雀颈部的羽毛是否从鲜蓝色变为祖母绿色？	该变化是否在 2 秒内完成？
607	object_008_E1	change	Starting at 14.0 seconds, change the larger boar's mottled brown coat to dark charcoal over the next two seconds.	较大野猪的皮毛是否从棕色杂斑变为深炭灰色？	该变化是否在 2 秒内完成？
610	object_011_E1	change	Starting at 14.0 seconds, change the dry pale-brown training-ground surface to damp dark brown over the next two seconds.	训练场地面是否从干燥浅棕色变为潮湿深棕色？	该变化是否在 2 秒内完成？
618	object_014_E2B	apply	Starting at 29.0 seconds, apply a crisp high-contrast monochrome grade to the full frame over the next two seconds.	整个画面是否应用了清晰的高对比度单色调？	该效果应用是否在 2 秒内完成？
619	object_015_E1	change	Starting at 20.0 seconds, change the central tree trunk's bark from medium brown to pale gray over the next two seconds.	中央树干的树皮是否从中棕色变为浅灰色？	该变化是否在 2 秒内完成？
622	object_017_E1	change	Starting at 14.0 seconds, change the spotted cat's base coat from golden-tan to cool pale gray over the next two seconds.	斑点猫的底色皮毛是否从金棕色变为冷调浅灰色？	该变化是否在 2 秒内完成？
628	object_020_E1	change	Starting at 14.0 seconds, change the dry exposed soil beneath the deer to visibly wet dark-brown soil over the next two seconds.	鹿下方裸露的土壤是否从干燥状态变为明显湿润的深棕色？	该变化是否在 2 秒内完成？
633	object_022_E2B	render	Starting at 29.0 seconds, render the garden background as a colored-pencil illustration over the next two seconds.	花园背景是否被呈现为彩色铅笔插画？	该渲染是否在 2 秒内完成？
637	object_024_E1	change	Starting at 20.0 seconds, change the dry pale-brown dirt road to damp dark brown over the next two seconds.	土路是否从干燥浅棕色变为潮湿深棕色？	该变化是否在 2 秒内完成？
640	object_026_E1	change	Starting at 14.0 seconds, change the horned chameleon's yellow-green side region to vivid golden yellow over the next two seconds.	有角变色龙侧面的区域是否从黄绿色变为鲜艳的金黄色？	该变化是否在 2 秒内完成？
643	object_027_E1	change	Starting at 14.0 seconds, change the main bus's black body panels to deep navy blue over the next two seconds.	主公交车的车身面板是否从黑色变为深海军蓝色？	该变化是否在 2 秒内完成？
648	object_031_E2B	apply	Starting at 32.0 seconds, apply a vivid teal high-contrast grade to the full frame over the next two seconds.	整个画面是否应用了鲜艳的蓝绿色高对比度调色？	该效果应用是否在 2 秒内完成？
649	object_032_E1	change	Starting at 14.0 seconds, change the main crab's blue-green shell to vivid red over the next two seconds.	主螃蟹的甲壳是否从蓝绿色变为鲜红色？	该变化是否在 2 秒内完成？
657	object_039_E2B	transform	Starting at 29.0 seconds, transform the full frame into a 1990s consumer-camcorder recording over the next two seconds.	整个画面是否转换为 20 世纪 90 年代家用摄像机录像风格？	该转换是否在 2 秒内完成？
661	object_041_E1	change	Starting at 14.0 seconds, change the sunny outdoor weather to lightly overcast conditions over the next two seconds.	晴朗的室外天气是否变为轻微阴天？	该变化是否在 2 秒内完成？
666	object_042_E2B	transform	Starting at 29.0 seconds, transform the full puppy-and-mirror scene into a layered paper-collage style over the next two seconds.	完整的幼犬与镜子场景是否转换为分层纸张拼贴风格？	该转换是否在 2 秒内完成？
667	object_045_E1	change	Starting at 14.0 seconds, change the larger ring-tailed animal's gray-black coat to warm brown over the next two seconds.	较大环尾动物的皮毛是否从灰黑色变为暖棕色？	该变化是否在 2 秒内完成？
670	object_046_E1	change	Starting at 20.0 seconds, change the foreground polar bear's cream-white coat to pale golden beige over the next two seconds.	前景北极熊的皮毛是否从乳白色变为浅金米色？	该变化是否在 2 秒内完成？
675	object_047_E2B	render	Starting at 29.0 seconds, render the room background as a colored-pencil illustration over the next two seconds.	房间背景是否被呈现为彩色铅笔插画？	该渲染是否在 2 秒内完成？
681	object_053_E2B	render	Starting at 29.0 seconds, render the gray heron as a monochrome ink-wash painting over the next two seconds.	灰鹭是否被呈现为单色水墨画？	该渲染是否在 2 秒内完成？
682	object_054_E1	change	Starting at 14.0 seconds, change the pale-brown climbing rock wall to dark slate gray over the next two seconds.	攀爬岩壁是否从浅棕色变为深石板灰色？	该变化是否在 2 秒内完成？
687	object_056_E2B	render	Starting at 29.0 seconds, render the dog's blue harness as a cel-shaded game asset over the next two seconds.	狗的蓝色胸背带是否被呈现为赛璐珞着色的游戏资产？	该渲染是否在 2 秒内完成？
688	object_059_E1	change	Starting at 14.0 seconds, change the yellow-brown kelp bed to deep green over the next two seconds.	海带床是否从黄棕色变为深绿色？	该变化是否在 2 秒内完成？
694	object_064_E1	change	Starting at 14.0 seconds, change the jumping spider's brown-orange abdomen to vivid turquoise over the next two seconds.	跳蛛的腹部是否从棕橙色变为鲜艳的绿松石色？	该变化是否在 2 秒内完成？
697	object_066_E1	change	Starting at 14.0 seconds, change the foreground giraffe's dark-brown patches to deep burgundy over the next two seconds.	前景长颈鹿的斑块是否从深棕色变为深酒红色？	该变化是否在 2 秒内完成？
702	object_068_E2B	render	Starting at 29.0 seconds, render the black hand brush as a clay-animation prop over the next two seconds.	黑色手刷是否被呈现为黏土动画道具？	该渲染是否在 2 秒内完成？
703	object_069_E1	change	Starting at 14.0 seconds, change the ferry's red upper panels to cobalt blue over the next two seconds.	渡轮的上部面板是否从红色变为钴蓝色？	该变化是否在 2 秒内完成？
709	object_071_E1	change	Starting at 19.0 seconds, change the white fawn's coat to pale silver gray over the next two seconds.	白色幼鹿的皮毛是否变为浅银灰色？	该变化是否在 2 秒内完成？
712	object_072_E1	change	Starting at 14.0 seconds, change the blue character model from hard painted material to soft felt over the next two seconds.	蓝色角色模型的材质是否从硬质涂装材料变为柔软毛毡？	该变化是否在 2 秒内完成？
721	object_083_E1	change	Starting at 14.0 seconds, change the deer's red-brown coat to cool gray over the next two seconds.	鹿的皮毛是否从红棕色变为冷灰色？	该变化是否在 2 秒内完成？
724	object_084_E1	change	Starting at 14.0 seconds, change the medium-green lakeside grass to deep emerald green over the next two seconds.	湖边草地是否从中绿色变为深祖母绿色？	该变化是否在 2 秒内完成？
729	object_085_E2B	render	Starting at 27.0 seconds, render the lion resting beside the left wall as a charcoal sketch over the next two seconds.	在左墙旁休息的狮子是否被呈现为炭笔素描？	该渲染是否在 2 秒内完成？
730	object_088_E1	change	Starting at 14.0 seconds, change the black-and-white cat's black fur to medium gray over the next two seconds.	黑白猫的黑色皮毛是否变为中灰色？	该变化是否在 2 秒内完成？
733	object_090_E1	change	Starting at 14.0 seconds, change the shallow river water from muted gray-brown to clear blue-green over the next two seconds.	浅河水是否从暗淡的灰棕色变为清澈的蓝绿色？	该变化是否在 2 秒内完成？
738	object_093_E2B	transform	Starting at 29.0 seconds, transform the full helicopter field scene into a 1960s color aviation film over the next two seconds.	完整的直升机与场地场景是否转换为 20 世纪 60 年代彩色航空电影风格？	该转换是否在 2 秒内完成？
739	object_094_E1	change	Starting at 14.0 seconds, change the helicopter's red fuselage panels to emerald green over the next two seconds.	直升机的机身面板是否从红色变为祖母绿色？	该变化是否在 2 秒内完成？
742	object_095_E1	change	Starting at 14.0 seconds, change the long-haired dog's white coat to pale golden cream over the next two seconds.	长毛犬的皮毛是否从白色变为浅金奶油色？	该变化是否在 2 秒内完成？
748	object_099_E1	change	Starting at 20.0 seconds, change the adult tiger's black stripes to dark blue over the next two seconds.	成年虎的条纹是否从黑色变为深蓝色？	该变化是否在 2 秒内完成？
756	object_102_E2B	render	Starting at 29.0 seconds, render the office background as a soft watercolor painting over the next two seconds.	办公室背景是否被呈现为柔和的水彩画？	该渲染是否在 2 秒内完成？
757	object_104_E1	change	Starting at 14.0 seconds, change the buffalo's dark black-brown coat to pale ash gray over the next two seconds.	水牛的皮毛是否从深黑棕色变为浅灰白色？	该变化是否在 2 秒内完成？
762	object_106_E2B	transform	Starting at 29.0 seconds, transform the full grassland bird scene into a textured oil-painting style over the next two seconds.	完整的草地鸟类场景是否转换为带纹理的油画风格？	该转换是否在 2 秒内完成？
763	object_107_E1	change	Starting at 14.0 seconds, change the rhinoceros's gray-brown skin to cool slate gray over the next two seconds.	犀牛的皮肤是否从灰棕色变为冷石板灰色？	该变化是否在 2 秒内完成？
766	object_110_E1	change	Starting at 14.0 seconds, change the muted green-brown seagrass to deep emerald green over the next two seconds.	海草是否从暗淡的绿棕色变为深祖母绿色？	该变化是否在 2 秒内完成？
771	object_112_E2B	render	Starting at 29.0 seconds, render the yellow feather toy as a clay-animation prop over the next two seconds.	黄色羽毛玩具是否被呈现为黏土动画道具？	该渲染是否在 2 秒内完成？
772	object_113_E1	change	Starting at 14.0 seconds, change the stunt kite's yellow-green wing panels to bright cyan over the next two seconds.	特技风筝的翼面是否从黄绿色变为亮青色？	该变化是否在 2 秒内完成？
778	object_120_E1	change	Starting at 14.0 seconds, change the flat cool marine light to warm low-angle illumination over the next two seconds.	平淡的冷调海上光线是否变为暖色低角度照明？	该变化是否在 2 秒内完成？
783	object_121_E2B	render	Starting at 29.0 seconds, render the two adult tigers as detailed colored-pencil illustrations over the next two seconds.	两只成年虎是否被呈现为细致的彩色铅笔插画？	该渲染是否在 2 秒内完成？
784	object_122_E1	change	Starting at 14.0 seconds, change the small shark's light-gray dorsal skin to pale blue-gray over the next two seconds.	小鲨鱼背部的皮肤是否从浅灰色变为浅蓝灰色？	该变化是否在 2 秒内完成？
789	object_123_E2B	transform	Starting at 28.0 seconds, transform the full zebra enclosure scene into a textured oil-painting style over the next two seconds.	完整的斑马围栏场景是否转换为带纹理的油画风格？	该转换是否在 2 秒内完成？
790	object_125_E1	change	Starting at 14.0 seconds, change the squirrel's gray-brown dorsal fur to warm reddish brown over the next two seconds.	松鼠背部的皮毛是否从灰棕色变为暖红棕色？	该变化是否在 2 秒内完成？
796	object_128_E1	change	Starting at 20.0 seconds, change the curved transparent container wall to evenly frosted translucent plastic over the next two seconds.	弯曲透明的容器壁是否变为均匀磨砂的半透明塑料？	该变化是否在 2 秒内完成？
799	object_130_E1	change	Starting at 14.0 seconds, change the shallow wetland channel from muted green-brown to clear turquoise over the next two seconds.	浅湿地水道是否从暗淡的绿棕色变为清澈的绿松石色？	该变化是否在 2 秒内完成？
802	object_135_E1	change	Starting at 14.0 seconds, change the monitor lizard's pale dorsal spots and bands to muted gold over the next two seconds.	巨蜥背部的浅色斑点和条带是否变为暗金色？	该变化是否在 2 秒内完成？
804	object_135_E2B	render	Starting at 29.0 seconds, render the indoor background outside the monitor lizard as a soft charcoal sketch over the next two seconds.	巨蜥以外的室内背景是否被呈现为柔和的炭笔素描？	该渲染是否在 2 秒内完成？
813	object_144_E2B	render	Starting at 29.0 seconds, render the small puppy as a handcrafted felt stop-motion character over the next two seconds.	小狗是否被呈现为手工毛毡定格动画角色？	该渲染是否在 2 秒内完成？
817	object_147_E1	change	Starting at 14.0 seconds, change the locomotive's unmarked black hood panels to deep forest green over the next two seconds.	机车无标记的罩板是否从黑色变为深森林绿色？	该变化是否在 2 秒内完成？
820	object_148_E1	change	Starting at 14.0 seconds, change the orange cat's fur to pale cream over the next two seconds.	橙猫的皮毛是否变为浅奶油色？	该变化是否在 2 秒内完成？
826	object_154_E1	change	Starting at 14.0 seconds, change the aircraft's unmarked white fuselage panels to bright silver over the next two seconds.	飞机无标记的机身面板是否从白色变为亮银色？	该变化是否在 2 秒内完成？
829	object_157_E1	change	Starting at 14.0 seconds, change the bright-green seedling leaves outside the railing to muted purple-red over the next two seconds.	栏杆外幼苗的叶片是否从亮绿色变为暗紫红色？	该变化是否在 2 秒内完成？
832	object_158_E1	change	Starting at 14.0 seconds, change the rosetted jaguar's golden-tan base coat to pale silver over the next two seconds.	玫瑰斑美洲豹的底毛是否从金棕色变为浅银色？	该变化是否在 2 秒内完成？
835	object_159_E1	change	Starting at 14.0 seconds, change the slightly cloudy aquarium water to fully clear water over the next two seconds.	水族箱水是否从略显浑浊变为完全清澈？	该变化是否在 2 秒内完成？
838	object_160_E1	change	Starting at 14.0 seconds, change the hard direct sunlight on the toad and asphalt to soft diffuse daylight over the next two seconds.	照在蟾蜍和沥青上的光线是否从强烈直射阳光变为柔和的漫射日光？	该变化是否在 2 秒内完成？
844	object_162_E1	change	Starting at 14.0 seconds, change the fox's red-brown dorsal fur to pale silver-gray over the next two seconds.	狐狸背部的皮毛是否从红棕色变为浅银灰色？	该变化是否在 2 秒内完成？
847	object_165_E1	change	Starting at 14.0 seconds, change the cool blue-green underwater light to warm neutral illumination over the next two seconds.	冷调蓝绿色水下光线是否变为暖中性照明？	该变化是否在 2 秒内完成？
850	object_168_E1	change	Starting at 14.0 seconds, change the opossum-like animal's gray-white dorsal fur to warm reddish brown over the next two seconds.	负鼠状动物背部的皮毛是否从灰白色变为暖红棕色？	该变化是否在 2 秒内完成？
855	object_169_E2B	transform	Starting at 29.0 seconds, transform the full jumping-spider scene into a detailed ink-wash illustration over the next two seconds.	完整的跳蛛场景是否转换为细致的水墨插画？	该转换是否在 2 秒内完成？
856	object_170_E1	change	Starting at 14.0 seconds, change the surrounding green grass blades to pale blue-green over the next two seconds.	周围的草叶是否从绿色变为浅蓝绿色？	该变化是否在 2 秒内完成？
859	object_171_E1	change	Starting at 14.0 seconds, change the tree frog's bright-green dorsal skin to deep turquoise over the next two seconds.	树蛙背部的皮肤是否从亮绿色变为深绿松石色？	该变化是否在 2 秒内完成？
862	object_173_E1	change	Starting at 14.0 seconds, change the juvenile rhinoceros's gray skin to cool blue-gray over the next two seconds.	幼年犀牛的皮肤是否从灰色变为冷蓝灰色？	该变化是否在 2 秒内完成？
865	object_174_E1	change	Starting at 14.0 seconds, change the stag's yellow-brown coat to deep chestnut brown over the next two seconds.	雄鹿的皮毛是否从黄棕色变为深栗棕色？	该变化是否在 2 秒内完成？
870	object_175_E2B	transform	Starting at 29.0 seconds, transform the full horse-and-zebra pasture scene into a 1970s color nature documentary over the next two seconds.	完整的马与斑马牧场场景是否转换为 20 世纪 70 年代彩色自然纪录片风格？	该转换是否在 2 秒内完成？
